DB_origin	sampCountryorigin	sampContinentorigin	sampContinent	paramType	sampCountry	sampRegion	sampInfolatitude	sampInfolongitude	sampInfoaltitude	sampY	sampYearIncreas	sampSize	sampMethod	sampPoint	sampPointInfo	sampMatType	sampMatbased	sampMatInfo	sampMatCode	growingSystem	anMethRefId	resUnit	resLOD	resLODinfo	resLOQ	resLOQinfo	exprResPerc	ToTresValUncertSD	meanTot	POSresValUncertSD	meanPos	median	medianinfo	min	max	LOD	IQRmin	IQRmax	Concentration	DataSampLevel	Co-occurrence	Ref
Palumbo	BE	EUROPE	EUROPE	15ADON	BE	-999	-999	-999	-999	2010	1	12	monitoring	distribution	-999	food	maize	-999	popcorn	-999	LC-MS/MS	µg/kg	5;12	range	10;24	range	-999	18	26	-999	-999	-999	-999	-999	55	67	-999	-999	-999	0	0	De Boevre, M. et al, 2012
Palumbo	BE	EUROPE	EUROPE	15ADON	BE	-999	-999	-999	-999	2010	1	8	monitoring	-999	-999	feed	maize	piglet	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	25	42	-999	-999	-999	-999	-999	86	-999	-999	-999	-999	0	0	De Boevre, M. et al, 2012
Palumbo	BE	EUROPE	EUROPE	15ADON	BE	-999	-999	-999	-999	2010	1	1	monitoring	-999	-999	feed	maize 	germ	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	43	1	1	De Boevre, M. et al, 2012_87
Palumbo	BE	EUROPE	EUROPE	15ADON	BE	-999	-999	-999	-999	2010	1	1	monitoring	-999	-999	feed	maize 	gluten feed	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	164	1	1	De Boevre, M. et al, 2012_88
Palumbo	BE	EUROPE	EUROPE	15ADON	BE	-999	-999	-999	-999	2010	1	1	monitoring	-999	-999	feed	maize 	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	51	1	1	De Boevre, M. et al, 2012_89
Palumbo	BE	EUROPE	EUROPE	15ADON	BE	-999	-999	-999	-999	2010	1	1	monitoring	-999	-999	feed	maize 	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	65	1	1	De Boevre, M. et al, 2012_90
Palumbo	BE	EUROPE	EUROPE	15ADON	BE	-999	-999	-999	-999	2010	1	1	monitoring	-999	-999	feed	maize 	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	194	1	1	De Boevre, M. et al, 2012_91
 Ana	SI	Europe	Europe	15ADON	SI	-999	-999	-999	-999	2007	2	47	random	preharvest	harvest	feed	maize	-999	-999	-999	GC-MS	µg/kg	50	-999	100	-999	-999	-999	-999	-999	-999	-999	-999	50	830	60	-999	-999	-999	0	0	Jakovac-Strajn&Tavcar-Kalcher(2012)
Palumbo	CZ	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	43	1	1	Monbaliu S et al, 2010_230
Palumbo	CZ	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1047	1	1	Monbaliu S et al, 2010_231
Palumbo	CZ	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	82	1	1	Monbaliu S et al, 2010_232
Palumbo	CZ	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	41	1	1	Monbaliu S et al, 2010_233
Palumbo	CZ	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	192	1	1	Monbaliu S et al, 2010_234
Palumbo	CZ	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	107	1	1	Monbaliu S et al, 2010_235
Palumbo	CZ	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	84	1	1	Monbaliu S et al, 2010_236
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_237
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_238
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_239
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_240
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_241
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_242
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_243
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_244
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_245
Palumbo	-999	-999	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_246
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	92	1	1	Monbaliu S et al, 2010_247
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	151	1	1	Monbaliu S et al, 2010_248
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	94	1	1	Monbaliu S et al, 2010_249
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	136	1	1	Monbaliu S et al, 2010_250
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_251
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	382	1	1	Monbaliu S et al, 2010_252
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_253
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_254
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_255
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	134	1	1	Monbaliu S et al, 2010_256
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	27	1	1	Monbaliu S et al, 2010_257
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	70	1	1	Monbaliu S et al, 2010_258
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_259
Palumbo	ES	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	59	1	1	Monbaliu S et al, 2010_260
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	13	1	1	Monbaliu S et al, 2010_261
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	85	1	1	Monbaliu S et al, 2010_262
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	63	1	1	Monbaliu S et al, 2010_263
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	74	1	1	Monbaliu S et al, 2010_264
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	62	1	1	Monbaliu S et al, 2010_265
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	63	1	1	Monbaliu S et al, 2010_266
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	77	1	1	Monbaliu S et al, 2010_267
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	32	1	1	Monbaliu S et al, 2010_268
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	33	1	1	Monbaliu S et al, 2010_269
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	233	1	1	Monbaliu S et al, 2010_270
Palumbo	PT	EUROPE	-999	15ADON	-999	-999	-999	-999	-999	2008	0	1	-999	postharvest	-999	feed	maize	-999	-999	-999	LC-MS/MS	µg/kg	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	Monbaliu S et al, 2010_271
