 DB_origin	sampCountryorigin	sampContinentorigin	sampContinent	paramType	sampCountry	sampRegion	sampInfolatitude	sampInfolongitude	sampInfoaltitude	sampY	sampYearIncreas	sampSize	sampMethod	sampPoint	sampPointInfo	sampMatType	sampMatbased	sampMatInfo	sampMatCode	growingSystem	anMethRefId	resUnit	resLOD	resLODinfo	resLOQ	resLOQinfo	exprResPerc	ToTresValUncertSD	meanTot	POSresValUncertSD	meanPos	median	medianinfo	min	max	LOD	IQRmin	IQRmax	Concentration	DataSampLevel	Co-occurrence	Ref
 Ana	FR	Europe	Europe	OTA	FR	-999	-999	-999	-999	-999	-999	25	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	0.01	-999	0.05	-999	-999	-999	0.002	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	0	Dietary exposure to mycotoxins
 Ana	FR	Europe	Europe	PAT	FR	-999	-999	-999	-999	-999	-999	25	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	3	-999	10	-999	-999	-999	0.115	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	0	Dietary exposure to mycotoxins
 Ana	FR	Europe	Europe	FB1	FR	-999	-999	-999	-999	-999	-999	25	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	10	-999	20	-999	-999	-999	1.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	1	Dietary exposure to mycotoxins
 Ana	FR	Europe	Europe	FB2	FR	-999	-999	-999	-999	-999	-999	25	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	10	-999	20	-999	-999	-999	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	1	Dietary exposure to mycotoxins
 Ana	FR	Europe	Europe	ZEN	FR	-999	-999	-999	-999	-999	-999	25	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	0.15	-999	0.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	0	0	Dietary exposure to mycotoxins
 Ana	FR	Europe	Europe	OTA	FR	-999	-999	-999	-999	-999	-999	6	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	0.01	-999	0.05	-999	-999	-999	0.017	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	0	Dietary exposure to mycotoxins
 Ana	FR	Europe	Europe	FB1	FR	-999	-999	-999	-999	-999	-999	6	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	10	-999	20	-999	-999	-999	0.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	0	Dietary exposure to mycotoxins
 Ana	FR	Europe	Europe	FB2	FR	-999	-999	-999	-999	-999	-999	6	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	10	-999	20	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	0	0	Dietary exposure to mycotoxins
 Ana	FR	Europe	Europe	OTA	FR	-999	-999	-999	-999	-999	-999	23	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	0.01	-999	0.05	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	0	0	Dietary exposure to mycotoxins
 Ana	FR	Europe	Europe	ZEN	FR	-999	-999	-999	-999	-999	-999	23	-999	distribution	retail	food	-999	beverage	-999	-999	LC-MS/MS	µg/kg	0.15	-999	0.5	-999	-999	-999	0.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	0	Dietary exposure to mycotoxins
