"DB_origin","sampCountryorigin","sampContinentorigin","sampContinent","paramType","sampCountry","sampRegion","sampInfolatitude","sampInfolongitude","sampInfoaltitude","sampY","sampYearIncreas","sampSize","sampMethod","sampPoint","sampPointInfo","sampMatType","sampMatbased","sampMatInfo","sampMatCode","growingSystem","anMethRefId","resUnit","resLOD","resLODinfo","resLOQ","resLOQinfo","exprResPerc","ToTresValUncertSD","meanTot","POSresValUncertSD","meanPos","median","medianinfo","min","max","LOD","IQRmin","IQRmax","Concentration","DataSampLevel","Co-occurrence","Ref"
"Palumbo","BE","EUROPE","EUROPE","15ADON","BE",NA,NA,NA,NA,2010,1,12,"monitoring","distribution",NA,"food","maize",NA,"popcorn",NA,"LC-MS/MS","µg/kg","5;12","range","10;24","range",NA,18,26,NA,NA,NA,NA,NA,55,67,NA,NA,NA,0,0,"De Boevre, M. et al, 2012"
"Palumbo","BE","EUROPE","EUROPE","15ADON","BE",NA,NA,NA,NA,2010,1,8,"monitoring",NA,NA,"feed","maize","piglet",NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,25,42,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,0,0,"De Boevre, M. et al, 2012"
"Palumbo","BE","EUROPE","EUROPE","15ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize","germ",NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,1,"De Boevre, M. et al, 2012_87"
"Palumbo","BE","EUROPE","EUROPE","15ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize","gluten feed",NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,1,1,"De Boevre, M. et al, 2012_88"
"Palumbo","BE","EUROPE","EUROPE","15ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,1,"De Boevre, M. et al, 2012_89"
"Palumbo","BE","EUROPE","EUROPE","15ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1,1,"De Boevre, M. et al, 2012_90"
"Palumbo","BE","EUROPE","EUROPE","15ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,1,1,"De Boevre, M. et al, 2012_91"
"Ana","SI","Europe","Europe","15ADON","SI",NA,NA,NA,NA,2007,2,47,"random","preharvest","harvest","feed","maize",NA,NA,NA,"GC-MS","µg/kg","50",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,50,830,60,NA,NA,NA,0,0,"Jakovac-Strajn&Tavcar-Kalcher(2012)"
"Palumbo","CZ","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,1,"Monbaliu S et al, 2010_230"
"Palumbo","CZ","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1047,1,1,"Monbaliu S et al, 2010_231"
