"DB_origin","sampCountryorigin","sampContinentorigin","sampContinent","paramType","sampCountry","sampRegion","sampInfolatitude","sampInfolongitude","sampInfoaltitude","sampY","sampYearIncreas","sampSize","sampMethod","sampPoint","sampPointInfo","sampMatType","sampMatbased","sampMatInfo","sampMatCode","growingSystem","anMethRefId","resUnit","resLOD","resLODinfo","resLOQ","resLOQinfo","exprResPerc","ToTresValUncertSD","meanTot","POSresValUncertSD","meanPos","median","medianinfo","min","max","LOD","IQRmin","IQRmax","Concentration","DataSampLevel","Co-occurrence","Ref"
"Ana","FR","Europe","Europe","OTA","FR",NA,NA,NA,NA,NA,NA,25,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","0.01",NA,"0.05",NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Dietary exposure to mycotoxins"
"Ana","FR","Europe","Europe","PAT","FR",NA,NA,NA,NA,NA,NA,25,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","3",NA,"10",NA,NA,NA,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Dietary exposure to mycotoxins"
"Ana","FR","Europe","Europe","FB1","FR",NA,NA,NA,NA,NA,NA,25,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","10",NA,"20",NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Dietary exposure to mycotoxins"
"Ana","FR","Europe","Europe","FB2","FR",NA,NA,NA,NA,NA,NA,25,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","10",NA,"20",NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Dietary exposure to mycotoxins"
"Ana","FR","Europe","Europe","ZEN","FR",NA,NA,NA,NA,NA,NA,25,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","0.15",NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"Dietary exposure to mycotoxins"
"Ana","FR","Europe","Europe","OTA","FR",NA,NA,NA,NA,NA,NA,6,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","0.01",NA,"0.05",NA,NA,NA,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Dietary exposure to mycotoxins"
"Ana","FR","Europe","Europe","FB1","FR",NA,NA,NA,NA,NA,NA,6,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","10",NA,"20",NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Dietary exposure to mycotoxins"
"Ana","FR","Europe","Europe","FB2","FR",NA,NA,NA,NA,NA,NA,6,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","10",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"Dietary exposure to mycotoxins"
"Ana","FR","Europe","Europe","OTA","FR",NA,NA,NA,NA,NA,NA,23,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","0.01",NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"Dietary exposure to mycotoxins"
"Ana","FR","Europe","Europe","ZEN","FR",NA,NA,NA,NA,NA,NA,23,NA,"distribution","retail","food",NA,"beverage",NA,NA,"LC-MS/MS","µg/kg","0.15",NA,"0.5",NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Dietary exposure to mycotoxins"
"Ana",NA,NA,NA,"TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"distribution","retail","food","almond",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.83,NA,NA,NA,NA,0,0,"Development of a stable"
"Ana",NA,NA,NA,"DHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,"distribution","retail","food","almond",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"Development of a stable"
"Ana",NA,NA,NA,"IsoTEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"distribution","retail","food","almond",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"Development of a stable"
"Ana","PL","Europe","Europe","DON","PL","Radzików",NA,NA,NA,2007,0,16,"random","preharvest","harvest","food","barley",NA,NA,NA,"GC-MS","µg/kg","1",NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,9,94,NA,NA,NA,0,1,"A comparision of contents"
"Ana","PL","Europe","Europe","3ADON","PL","Radzików",NA,NA,NA,2007,0,16,"random","preharvest","harvest","food","barley",NA,NA,NA,"GC-MS","µg/kg","1",NA,NA,NA,NA,NA,13.56,NA,NA,NA,NA,NA,53,63,NA,NA,NA,0,1,"A comparision of contents"
"Ana","PL","Europe","Europe","15ADON","PL","Radzików",NA,NA,NA,2007,0,16,"random","preharvest","harvest","food","barley",NA,NA,NA,"GC-MS","µg/kg","1",NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,2,31,NA,NA,NA,0,1,"A comparision of contents"
"Ana","PL","Europe","Europe","NIV","PL","Radzików",NA,NA,NA,2007,0,16,"random","preharvest","harvest","food","barley",NA,NA,NA,"GC-MS","µg/kg","1",NA,NA,NA,NA,NA,3.38,NA,NA,NA,NA,NA,25,31,NA,NA,NA,0,1,"A comparision of contents"
"Ana","PL","Europe","Europe","STO","PL","Radzików",NA,NA,NA,2007,0,16,"random","preharvest","harvest","food","barley",NA,NA,NA,"GC-MS","µg/kg","1",NA,NA,NA,NA,NA,1.69,NA,NA,NA,NA,NA,9,25,NA,NA,NA,0,1,"A comparision of contents"
"Ana","PL","Europe","Europe","T2 tetraol","PL","Radzików",NA,NA,NA,2007,0,16,"random","preharvest","harvest","food","barley",NA,NA,NA,"GC-MS","µg/kg","1",NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,3,6,NA,NA,NA,0,1,"A comparision of contents"
"Ana","PL","Europe","Europe","T2 triol","PL","Radzików",NA,NA,NA,2007,0,16,"random","preharvest","harvest","food","barley",NA,NA,NA,"GC-MS","µg/kg","1",NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,1,13,NA,NA,NA,0,1,"A comparision of contents"
"Ana","PL","Europe","Europe","HT2","PL","Radzików",NA,NA,NA,2007,0,16,"random","preharvest","harvest","food","barley",NA,NA,NA,"GC-MS","µg/kg","1",NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,2,25,NA,NA,NA,0,1,"A comparision of contents"
"Ana","PL","Europe","Europe","T2","PL","Radzików",NA,NA,NA,2007,0,16,"random","preharvest","harvest","food","barley",NA,NA,NA,"GC-MS","µg/kg","1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,31,NA,NA,NA,0,1,"A comparision of contents"
"Ana","SI","Europe","Europe","DON","SI",NA,NA,NA,NA,2007,2,39,"random","preharvest","harvest","feed","barley",NA,NA,NA,"GC-MS","µg/kg","50",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,50,720,33,NA,NA,NA,0,0,"A method using gas"
"Ana","SI","Europe","Europe","3ADON","SI",NA,NA,NA,NA,2007,2,30,"random","preharvest","harvest","feed","barley",NA,NA,NA,"GC-MS","µg/kg","50",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"A method using gas"
"Ana","SI","Europe","Europe","DAS","SI",NA,NA,NA,NA,2007,2,30,"random","preharvest","harvest","feed","barley",NA,NA,NA,"GC-MS","µg/kg","50",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"A method using gas"
"Ana","SI","Europe","Europe","15ADON","SI",NA,NA,NA,NA,2007,2,30,"random","preharvest","harvest","feed","barley",NA,NA,NA,"GC-MS","µg/kg","50",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"A method using gas"
"Ana","SI","Europe","Europe","NIV","SI",NA,NA,NA,NA,2007,2,30,"random","preharvest","harvest","feed","barley",NA,NA,NA,"GC-MS","µg/kg","50",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,340,510,7,NA,NA,NA,0,0,"A method using gas"
"Ana","SI","Europe","Europe","NEO","SI",NA,NA,NA,NA,2007,2,30,"random","preharvest","harvest","feed","barley",NA,NA,NA,"GC-MS","µg/kg","50",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"A method using gas"
"Ana","SI","Europe","Europe","HT2","SI",NA,NA,NA,NA,2007,2,39,"random","preharvest","harvest","feed","barley",NA,NA,NA,"GC-MS","µg/kg","50",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,50,50,3,NA,NA,NA,0,0,"A method using gas"
"Ana","SI","Europe","Europe","T2","SI",NA,NA,NA,NA,2007,2,39,"random","preharvest","harvest","feed","barley",NA,NA,NA,"GC-MS","µg/kg","50",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"A method using gas"
"Ana","ES","Europe","Europe","AFB1","ES",NA,NA,NA,NA,2008,2,105,"random","distribution","stores","food","barley",NA,"grainsfood",NA,"LC","µg/kg","0.01",NA,"35",NA,NA,NA,NA,NA,0.1,NA,NA,0.017,0.61,12.4,NA,NA,NA,1,1,"Aflatoxins and ochratoxin A in"
"Ana","ES","Europe","Europe","AFB2","ES",NA,NA,NA,NA,2008,2,105,"random","distribution","stores","food","barley",NA,"grainsfood",NA,"LC","µg/kg","0.01",NA,"35",NA,NA,NA,NA,NA,0.031,NA,NA,0.017,0.06,2.9,NA,NA,NA,1,1,"Aflatoxins and ochratoxin A in"
"Ana","ES","Europe","Europe","AFG1","ES",NA,NA,NA,NA,2008,2,105,"random","distribution","stores","food","barley",NA,"grainsfood",NA,"LC","µg/kg","15",NA,"0.05",NA,NA,NA,NA,NA,0.093,NA,NA,0.025,0.26,4.8,NA,NA,NA,1,1,"Aflatoxins and ochratoxin A in"
"Ana","ES","Europe","Europe","AFG2","ES",NA,NA,NA,NA,2008,2,105,"random","distribution","stores","food","barley",NA,"grainsfood",NA,"LC","µg/kg","15",NA,"0.05",NA,NA,NA,NA,NA,0.022,NA,NA,0.025,0.05,2.9,NA,NA,NA,1,1,"Aflatoxins and ochratoxin A in"
"Ana","ES","Europe","Europe","OTA","ES",NA,NA,NA,NA,2008,2,105,"random","distribution","stores","food","barley",NA,"grainsfood",NA,"LC","µg/kg","0.05",NA,"0.17",NA,NA,NA,NA,NA,0.47,NA,NA,0.05,1.6,20,NA,NA,NA,1,1,"Aflatoxins and ochratoxin A in"
"Ana","PL","Europe","Europe","NIV","PL","Warsaw",NA,NA,NA,NA,NA,12,NA,"distribution","retail","food","barley",NA,NA,NA,"LC-IT-MS/MS","µg/kg","10",NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"An LC-IT-MS/MS-based method to"
"Ana","PL","Europe","Europe","DON","PL","Warsaw",NA,NA,NA,NA,NA,12,NA,"distribution","retail","food","barley",NA,NA,NA,"LC-IT-MS/MS","µg/kg","10",NA,"25",NA,NA,20,46,NA,NA,40,NA,27,77,33,NA,NA,NA,0,0,"An LC-IT-MS/MS-based method to"
"Ana","PL","Europe","Europe","FUSX","PL","Warsaw",NA,NA,NA,NA,NA,12,NA,"distribution","retail","food","barley",NA,NA,NA,"LC-IT-MS/MS","µg/kg","10",NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"An LC-IT-MS/MS-based method to"
"Ana","PL","Europe","Europe","NEO","PL","Warsaw",NA,NA,NA,NA,NA,12,NA,"distribution","retail","food","barley",NA,NA,NA,"LC-IT-MS/MS","µg/kg","0.5",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"An LC-IT-MS/MS-based method to"
"Ana","PL","Europe","Europe","3ADON","PL","Warsaw",NA,NA,NA,NA,NA,12,NA,"distribution","retail","food","barley",NA,NA,NA,"LC-IT-MS/MS","µg/kg","10",NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"An LC-IT-MS/MS-based method to"
"Ana","PL","Europe","Europe","DAS","PL","Warsaw",NA,NA,NA,NA,NA,12,NA,"distribution","retail","food","barley",NA,NA,NA,"LC-IT-MS/MS","µg/kg","0.3",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"An LC-IT-MS/MS-based method to"
"Ana","PL","Europe","Europe","HT2","PL","Warsaw",NA,NA,NA,NA,NA,12,NA,"distribution","retail","food","barley",NA,NA,NA,"LC-IT-MS/MS","µg/kg","10",NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"An LC-IT-MS/MS-based method to"
"Ana","PL","Europe","Europe","T2","PL","Warsaw",NA,NA,NA,NA,NA,12,NA,"distribution","retail","food","barley",NA,NA,NA,"LC-IT-MS/MS","µg/kg","10",NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"An LC-IT-MS/MS-based method to"
"Ana","CZ","Europe","Europe","DON","CZ",NA,NA,NA,NA,NA,NA,1,NA,"preharvest","harvest",NA,"barley",NA,NA,NA,"UHPLC-MS","µg/kg","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,33.1,1,1,"Analysis of mycotoxins in"
"Ana","CZ","Europe","Europe","DON","CZ",NA,NA,NA,NA,NA,NA,1,NA,"preharvest","harvest",NA,"barley",NA,NA,NA,"UHPLC-MS","µg/kg","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,43.1,1,1,"Analysis of mycotoxins in"
"Ana","CZ","Europe","Europe","DON","CZ",NA,NA,NA,NA,NA,NA,1,NA,"preharvest","harvest",NA,"barley",NA,NA,NA,"UHPLC-MS","µg/kg","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,38.1,1,1,"Analysis of mycotoxins in"
"Ana","CZ","Europe","Europe","DON","CZ",NA,NA,NA,NA,NA,NA,1,NA,"preharvest","harvest",NA,"barley",NA,NA,NA,"UHPLC-MS","µg/kg","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,49.1,1,1,"Analysis of mycotoxins in"
"Ana","CZ","Europe","Europe","DON","CZ",NA,NA,NA,NA,NA,NA,1,NA,"preharvest","harvest",NA,"barley",NA,NA,NA,"UHPLC-MS","µg/kg","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,25.1,1,1,"Analysis of mycotoxins in"
